ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,MB,All fuel types,Vans,789,2017,1
2017-01-01,MB,Gas,"Total, vehicle type",12251,2017,1
2017-01-01,MB,Gas,Passenger cars,2888,2017,1
2017-01-01,MB,Gas,Pickup trucks,3160,2017,1
2017-01-01,MB,Gas,Multi-purpose vehicles,5452,2017,1
2017-01-01,MB,Gas,Vans,751,2017,1
2017-01-01,MB,Diesel,"Total, vehicle type",314,2017,1
2017-01-01,MB,Diesel,Passenger cars,6,2017,1
2017-01-01,MB,Diesel,Pickup trucks,266,2017,1
2017-01-01,MB,Diesel,Multi-purpose vehicles,5,2017,1
2017-01-01,MB,Diesel,Vans,37,2017,1
2017-01-01,MB,All zero-emission vehicles,"Total, vehicle type",10,2017,1
2017-01-01,MB,All zero-emission vehicles,Passenger cars,9,2017,1
2017-01-01,MB,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,MB,All zero-emission vehicles,Multi-purpose vehicles,0,2017,1
2017-01-01,MB,All zero-emission vehicles,Vans,1,2017,1
2017-01-01,MB,Electric,"Total, vehicle type",5,2017,1
2017-01-01,MB,Electric,Passenger cars,5,2017,1
2017-01-01,MB,Electric,Pickup trucks,0,2017,1
2017-01-01,MB,Electric,Multi-purpose vehicles,0,2017,1
2017-01-01,MB,Electric,Vans,0,2017,1
2017-01-01,MB,Hybrid Electric,"Total, vehicle type",5,2017,1
2017-01-01,MB,Hybrid Electric,Passenger cars,4,2017,1
2017-01-01,MB,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,MB,Hybrid Electric,Multi-purpose vehicles,0,2017,1
2017-01-01,MB,Hybrid Electric,Vans,1,2017,1
2017-01-01,MB,Hybrid Electric,"Total, vehicle type",67,2017,1
2017-01-01,MB,Hybrid Electric,Passenger cars,31,2017,1
2017-01-01,MB,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,MB,Hybrid Electric,Multi-purpose vehicles,36,2017,1
2017-01-01,MB,Hybrid Electric,Vans,0,2017,1
2017-01-01,MB,Other,"Total, vehicle type",0,2017,1
2017-01-01,MB,Other,Passenger cars,0,2017,1
2017-01-01,MB,Other,Pickup trucks,0,2017,1
2017-01-01,MB,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,MB,Other,Vans,0,2017,1
2017-01-01,SAS,All fuel types,"Total, vehicle type",12939,2017,1
2017-01-01,SAS,All fuel types,Passenger cars,1942,2017,1
2017-01-01,SAS,All fuel types,Pickup trucks,5018,2017,1
2017-01-01,SAS,All fuel types,Multi-purpose vehicles,5288,2017,1
2017-01-01,SAS,All fuel types,Vans,691,2017,1
2017-01-01,SAS,Gas,"Total, vehicle type",11984,2017,1
2017-01-01,SAS,Gas,Passenger cars,1880,2017,1
2017-01-01,SAS,Gas,Pickup trucks,4179,2017,1
2017-01-01,SAS,Gas,Multi-purpose vehicles,5250,2017,1
2017-01-01,SAS,Gas,Vans,675,2017,1
2017-01-01,SAS,Diesel,"Total, vehicle type",876,2017,1
2017-01-01,SAS,Diesel,Passenger cars,5,2017,1
2017-01-01,SAS,Diesel,Pickup trucks,839,2017,1
2017-01-01,SAS,Diesel,Multi-purpose vehicles,17,2017,1
2017-01-01,SAS,Diesel,Vans,15,2017,1
2017-01-01,SAS,All zero-emission vehicles,"Total, vehicle type",8,2017,1
2017-01-01,SAS,All zero-emission vehicles,Passenger cars,4,2017,1
2017-01-01,SAS,All zero-emission vehicles,Pickup trucks,0,2017,1
