GEO,SEX,AGE_GROUP,VALUE,YEAR
Canada,Females,75 years,182501,2022
Canada,Females,76 years,153698,2022
Canada,Females,77 years,140173,2022
Canada,Females,78 years,133251,2022
Canada,Females,79 years,124771,2022
Canada,Females,80 to 84 years,487587,2022
Canada,Females,80 years,113533,2022
Canada,Females,81 years,106016,2022
Canada,Females,82 years,96383,2022
Canada,Females,83 years,89406,2022
Canada,Females,84 years,82249,2022
Canada,Females,85 to 89 years,313460,2022
Canada,Females,85 years,74305,2022
Canada,Females,86 years,69666,2022
Canada,Females,87 years,62539,2022
Canada,Females,88 years,55742,2022
Canada,Females,89 years,51208,2022
Canada,Females,90 to 94 years,170180,2022
Canada,Females,90 years,45600,2022
Canada,Females,91 years,40657,2022
Canada,Females,92 years,33749,2022
Canada,Females,93 years,27335,2022
Canada,Females,94 years,22839,2022
Canada,Females,95 to 99 years,57162,2022
Canada,Females,95 years,17989,2022
Canada,Females,96 years,14084,2022
Canada,Females,97 years,10891,2022
Canada,Females,98 years,8387,2022
Canada,Females,99 years,5811,2022
Canada,Females,100 years and over,10866,2022
Canada,Females,0 to 14 years,2964364,2022
Canada,Females,0 to 15 years,3170266,2022
Canada,Females,0 to 16 years,3373461,2022
Canada,Females,0 to 17 years,3575853,2022
Canada,Females,15 to 49 years,8773720,2022
Canada,Females,15 to 64 years,12661965,2022
Canada,Females,16 to 64 years,12456063,2022
Canada,Females,17 to 64 years,12252868,2022
Canada,Females,18 years and over,15996345,2022
Canada,Females,18 to 64 years,12050476,2022
Canada,Females,18 to 24 years,1637968,2022
Canada,Females,25 to 44 years,5308976,2022
Canada,Females,45 to 64 years,5103532,2022
Canada,Females,65 years and over,3945869,2022
Canada,Females,90 years and over,238208,2022
