REF_DATE,DESC,VALUE,YEAR
2022-02-26,Domestic movements,34801,2022
2022-02-26,Transborder movements,5201,2022
2022-02-26,Other international movements,2501,2022
2022-03-05,Domestic movements,39437,2022
2022-03-05,Transborder movements,5374,2022
2022-03-05,Other international movements,2538,2022
2022-03-12,Domestic movements,34883,2022
2022-03-12,Transborder movements,5303,2022
2022-03-12,Other international movements,2698,2022
2022-03-19,Domestic movements,36206,2022
2022-03-19,Transborder movements,5539,2022
2022-03-19,Other international movements,2685,2022
2022-03-26,Domestic movements,36017,2022
2022-03-26,Transborder movements,5845,2022
2022-03-26,Other international movements,2732,2022
2022-04-02,Domestic movements,40476,2022
2022-04-02,Transborder movements,6307,2022
2022-04-02,Other international movements,2753,2022
2022-04-09,Domestic movements,36686,2022
2022-04-09,Transborder movements,6479,2022
2022-04-09,Other international movements,2772,2022
2022-04-16,Domestic movements,39322,2022
2022-04-16,Transborder movements,6170,2022
2022-04-16,Other international movements,2657,2022
2022-04-23,Domestic movements,44995,2022
2022-04-23,Transborder movements,6392,2022
2022-04-23,Other international movements,2640,2022
2022-04-30,Domestic movements,45975,2022
2022-04-30,Transborder movements,6496,2022
2022-04-30,Other international movements,2530,2022
2022-05-07,Domestic movements,51301,2022
2022-05-07,Transborder movements,6645,2022
2022-05-07,Other international movements,2481,2022
2022-05-14,Domestic movements,46419,2022
2022-05-14,Transborder movements,6586,2022
2022-05-14,Other international movements,2547,2022
2022-05-21,Domestic movements,48503,2022
2022-05-21,Transborder movements,6552,2022
2022-05-21,Other international movements,2592,2022
2022-05-28,Domestic movements,51370,2022
2022-05-28,Transborder movements,6564,2022
2022-05-28,Other international movements,2676,2022
2022-06-04,Domestic movements,49853,2022
2022-06-04,Transborder movements,7385,2022
2022-06-04,Other international movements,2765,2022
2022-06-11,Domestic movements,51096,2022
2022-06-11,Transborder movements,7395,2022
2022-06-11,Other international movements,2888,2022
2022-06-18,Domestic movements,51678,2022
2022-06-18,Transborder movements,7489,2022
2022-06-18,Other international movements,3029,2022
2022-06-25,Domestic movements,54497,2022
2022-06-25,Transborder movements,7298,2022
2022-06-25,Other international movements,3036,2022
2022-07-02,Domestic movements,52459,2022
2022-07-02,Transborder movements,7048,2022
